step,loss,probe_loss,probe_accuracy,wall_clock_s
6020,2.0851,2.0324,0.215,17.73
6030,2.0502,2.053,0.199,17.76
6040,1.913,2.0557,0.172,17.79
6050,2.0148,2.0263,0.191,17.82
6060,2.1134,2.0306,0.18,17.85
6070,1.905,2.0253,0.184,17.88
6080,1.8698,2.0579,0.16,17.91
6090,2.1069,2.0426,0.164,17.94
6100,2.0693,2.2324,0.16,17.97
6110,2.1814,2.0753,0.176,18.0
6120,2.138,2.0269,0.191,18.03
6130,2.1294,2.0291,0.195,18.06
6140,1.8981,2.0386,0.172,18.09
6150,2.0031,2.0199,0.18,18.12
6160,2.1777,2.0178,0.184,18.15
6170,2.0554,2.0284,0.211,18.18
6180,2.2681,2.1129,0.18,18.21
6190,2.1396,2.0304,0.172,18.23
6200,1.9011,2.0513,0.168,18.26
6210,1.967,1.9981,0.211,18.29
6220,2.1642,2.008,0.191,18.32
6230,2.1032,2.0193,0.199,18.35
6240,2.0014,2.0175,0.188,18.38
6250,2.0619,2.0083,0.195,18.41
6260,2.0149,2.0333,0.199,18.44
6270,2.1445,2.0349,0.188,18.47
6280,2.063,2.0104,0.203,18.5
6290,2.0741,2.0229,0.172,18.53
6300,1.9936,2.0343,0.199,18.56
6310,2.1297,2.0286,0.211,18.59
6320,2.0077,2.024,0.176,18.62
6330,2.0859,2.005,0.203,18.65
6340,1.9874,2.0235,0.168,18.68
6350,2.1641,2.0404,0.199,18.71
6360,2.0241,2.1099,0.156,18.74
6370,2.0659,2.0158,0.207,18.77
6380,1.8883,2.0277,0.203,18.8
6390,2.1437,2.0229,0.164,18.83
6400,2.117,2.0251,0.164,18.86
6410,1.8336,2.0164,0.18,18.89
6420,2.1578,2.0309,0.16,18.91
6430,2.162,2.0266,0.191,18.94
6440,2.09,2.0909,0.164,18.97
6450,2.0171,2.0502,0.188,19.0
6460,1.821,2.0363,0.211,19.03
6470,2.2127,2.0374,0.145,19.06
6480,1.9762,2.01,0.168,19.09
6490,1.9519,2.0126,0.156,19.12
6500,2.0963,2.0303,0.172,19.15
6510,1.9114,2.0112,0.18,19.18
6520,1.9016,2.0057,0.195,19.21
6530,1.9928,2.0405,0.195,19.24
6540,1.9685,2.0248,0.176,19.27
6550,2.1637,2.0506,0.168,19.3
6560,2.1332,2.0372,0.176,19.33
6570,2.2019,2.0177,0.152,19.36
6580,1.9073,2.0322,0.164,19.38
6590,2.1919,2.0136,0.199,19.41
6600,1.9697,2.0034,0.191,19.44
6610,2.2157,2.0104,0.16,19.47
6620,2.1504,2.0524,0.156,19.5
6630,1.9073,2.0009,0.168,19.53
6640,2.0881,2.0029,0.145,19.56
6650,2.0855,2.0199,0.18,19.59
6660,2.0626,2.0339,0.16,19.62
6670,2.1093,2.0287,0.164,19.65
6680,1.9366,2.0695,0.152,19.68
