step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
158.0,2.542,2.5082,2.501,0.133,0.062,0.1,5.629,0.003906,0.003906,0.987,1292.0,40.0,-58.4,2430.0,180.45
159.0,2.2481,2.4969,2.5009,0.141,0.219,0.1,4.517,0.007813,0.007812,0.686,1455.0,35.0,-1040.0,256.0,181.83
160.0,2.3838,2.4896,2.5004,0.137,0.125,0.1,14.69,0.007812,0.007812,0.591,1252.0,39.0,-124.0,8960.0,183.19
161.0,2.37,2.487,2.4955,0.133,0.125,0.1,3.448,0.007813,0.007812,0.178,3167.0,36.0,-2890.0,447.0,184.74
162.0,2.6442,2.4933,2.4857,0.129,0.062,0.1,2.102,0.001953,0.001953,1.075,1392.0,35.0,-792.0,497.0,186.12
163.0,2.5032,2.477,2.4845,0.133,0.094,0.1,1.684,0.003906,0.003906,0.997,397.2,39.0,-30.0,259.0,187.65
164.0,2.4275,2.4822,2.4889,0.133,0.156,0.1,10.2,0.007813,0.007812,0.752,1267.0,35.0,-837.0,2400.0,189.05
165.0,2.3523,2.4835,2.4927,0.133,0.125,0.1,3.298,0.01563,0.01562,0.98,98.96,38.0,-17.3,1110.0,190.44
166.0,2.555,2.4738,2.4828,0.133,0.062,0.1,2.343,0.03125,0.03125,0.362,451.1,36.0,-409.0,114.0,191.78
167.0,2.3063,2.463,2.4766,0.121,0.188,0.1,3.781,0.03125,0.03125,0.496,288.6,35.0,-207.0,1040.0,193.07
168.0,2.3709,2.4507,2.4687,0.125,0.156,0.1,4.697,0.03125,0.03125,-0.09,117.9,37.0,-50.3,278.0,194.18
169.0,2.4075,2.4499,2.4687,0.125,0.125,0.1,4.426,0.007813,0.007812,0.487,269.2,35.0,-147.0,976.0,195.55
170.0,2.2952,2.4344,2.4745,0.125,0.125,0.1,5.002,0.007813,0.007812,0.861,294.9,35.0,-199.0,9790.0,197.12
171.0,2.7457,2.4453,2.4672,0.129,0.0,0.1,4.043,0.01563,0.01562,0.324,168.7,35.0,-141.0,1940.0,198.66
172.0,2.3093,2.4349,2.4807,0.113,0.125,0.1,5.196,0.01563,0.01562,0.517,218.8,36.0,-203.0,1800.0,200.16
173.0,2.351,2.4284,2.483,0.117,0.094,0.1,10.18,0.01563,0.01562,1.006,127.7,36.0,-31.7,8480.0,201.83
174.0,2.6061,2.4388,2.4945,0.113,0.094,0.1,5.363,0.03125,0.03125,0.774,91.95,35.0,-61.7,2070.0,203.17
175.0,2.5696,2.4339,2.4741,0.121,0.094,0.1,6.544,0.0625,0.0625,0.034,1634.0,36.0,-1620.0,1420.0,204.73
176.0,2.6233,2.4456,2.4741,0.121,0.125,0.1,3.233,0.01563,0.01562,0.159,2698.0,36.0,-2600.0,416.0,206.05
177.0,2.6735,2.4642,2.4757,0.125,0.062,0.1,4.343,0.003906,0.003906,1.057,2779.0,35.0,-1900.0,214.0,207.53
178.0,2.5063,2.4624,2.4746,0.125,0.156,0.1,4.73,0.007813,0.007812,0.847,1695.0,35.0,-1250.0,758.0,208.83
