step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
2590.0,2.3012,2.3023,2.3017,0.094,0.188,0.1,0.01198,0.001198,7.91
2600.0,2.3035,2.3022,2.3017,0.094,0.094,0.1,0.01142,0.001142,7.94
2610.0,2.3016,2.3022,2.3017,0.094,0.125,0.1,0.008694,0.0008694,7.97
2620.0,2.3023,2.3024,2.3017,0.094,0.125,0.1,0.006772,0.0006772,8.0
2630.0,2.3026,2.3025,2.3017,0.094,0.125,0.1,0.006757,0.0006757,8.03
2640.0,2.3036,2.3024,2.3017,0.094,0.031,0.1,0.02078,0.002078,8.06
2650.0,2.3018,2.3023,2.3017,0.094,0.25,0.1,0.01061,0.001061,8.09
2660.0,2.3018,2.3022,2.3017,0.094,0.062,0.1,0.01089,0.001089,8.12
2670.0,2.302,2.3022,2.3017,0.094,0.125,0.1,0.008799,0.0008799,8.15
2680.0,2.3033,2.3022,2.3016,0.09,0.062,0.1,0.01014,0.001014,8.18
2690.0,2.3016,2.3019,2.3016,0.09,0.094,0.1,0.009016,0.0009016,8.21
2700.0,2.3023,2.3019,2.3016,0.094,0.094,0.1,0.008095,0.0008095,8.24
2710.0,2.3013,2.302,2.3016,0.09,0.125,0.1,0.009448,0.0009448,8.27
2720.0,2.3004,2.3022,2.3016,0.09,0.219,0.1,0.02524,0.002524,8.29
2730.0,2.3026,2.3021,2.3016,0.09,0.156,0.1,0.01085,0.001085,8.32
2740.0,2.3017,2.3018,2.3015,0.094,0.094,0.1,0.007752,0.0007752,8.35
2750.0,2.302,2.3018,2.3015,0.094,0.062,0.1,0.01057,0.001057,8.38
2760.0,2.3016,2.3019,2.3015,0.09,0.125,0.1,0.01444,0.001444,8.41
2770.0,2.3017,2.3018,2.3014,0.09,0.156,0.1,0.01036,0.001036,8.44
2780.0,2.3012,2.3021,2.3014,0.09,0.156,0.1,0.0152,0.00152,8.47
2790.0,2.3019,2.3024,2.3014,0.09,0.125,0.1,0.01175,0.001175,8.5
2800.0,2.3042,2.3024,2.3014,0.09,0.031,0.1,0.02871,0.002871,8.53
2810.0,2.3039,2.3024,2.3014,0.09,0.0,0.1,0.02471,0.002471,8.56
2820.0,2.3021,2.3022,2.3014,0.09,0.094,0.1,0.01749,0.001749,8.59
2830.0,2.303,2.3023,2.3014,0.09,0.031,0.1,0.01159,0.001159,8.62
2840.0,2.303,2.3023,2.3014,0.09,0.062,0.1,0.01246,0.001246,8.65
2850.0,2.3018,2.3022,2.3014,0.09,0.125,0.1,0.01251,0.001251,8.68
2860.0,2.3018,2.3022,2.3014,0.09,0.156,0.1,0.008511,0.0008511,8.71
2870.0,2.3019,2.3021,2.3014,0.09,0.156,0.1,0.006647,0.0006647,8.74
2880.0,2.3033,2.3023,2.3013,0.09,0.031,0.1,0.008335,0.0008335,8.76
2890.0,2.3039,2.3022,2.3013,0.086,0.094,0.1,0.01299,0.001299,8.79
2900.0,2.3012,2.302,2.3013,0.086,0.25,0.1,0.01153,0.001153,8.82
2910.0,2.3012,2.3018,2.3013,0.086,0.094,0.1,0.0112,0.00112,8.85
2920.0,2.3029,2.302,2.3013,0.09,0.094,0.1,0.007353,0.0007353,8.88
2930.0,2.3004,2.3021,2.3013,0.086,0.094,0.1,0.02724,0.002724,8.91
2940.0,2.3003,2.3019,2.3012,0.09,0.156,0.1,0.01846,0.001846,8.94
2950.0,2.3014,2.3018,2.3012,0.09,0.062,0.1,0.01966,0.001966,8.97
