step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
2230.0,2.1212,2.043,2.0562,0.184,0.281,0.03,3.52,0.1056,7.23
2240.0,2.1749,2.0581,2.0283,0.219,0.125,0.03,2.075,0.06224,7.26
2250.0,2.0782,2.0249,1.9909,0.242,0.219,0.03,2.421,0.07264,7.29
2260.0,2.0424,2.0171,1.9922,0.219,0.25,0.03,2.453,0.07358,7.32
2270.0,2.019,2.0462,2.0144,0.211,0.344,0.03,2.183,0.0655,7.36
2280.0,2.2382,2.0327,2.0355,0.254,0.312,0.03,3.412,0.1024,7.39
2290.0,1.9671,2.0244,1.999,0.223,0.188,0.03,1.749,0.05246,7.42
2300.0,2.0336,1.9918,2.0364,0.172,0.219,0.03,1.771,0.05312,7.45
2310.0,1.9949,1.9913,1.9975,0.203,0.344,0.03,1.781,0.05342,7.48
2320.0,2.1056,2.0425,2.0657,0.215,0.188,0.03,2.408,0.07225,7.51
2330.0,1.9514,2.0278,2.0135,0.207,0.25,0.03,3.058,0.09173,7.54
2340.0,2.0891,2.0133,1.9964,0.215,0.094,0.03,2.562,0.07685,7.57
2350.0,1.8858,2.0039,2.0391,0.227,0.25,0.03,2.023,0.06068,7.6
2360.0,2.1504,2.02,2.1802,0.199,0.188,0.03,3.928,0.1178,7.63
2370.0,2.0019,2.0554,1.9955,0.211,0.188,0.03,1.125,0.03374,7.66
2380.0,1.9276,2.0311,1.9986,0.234,0.219,0.03,1.017,0.0305,7.7
2390.0,1.9877,2.0069,2.0147,0.23,0.25,0.03,3.228,0.09684,7.73
2400.0,1.9946,1.9787,2.0162,0.223,0.188,0.03,1.258,0.03774,7.76
2410.0,1.9842,1.9926,2.0079,0.215,0.25,0.03,1.109,0.03328,7.79
2420.0,2.059,2.0289,2.0423,0.234,0.188,0.03,2.613,0.0784,7.82
2430.0,1.9672,2.039,2.0442,0.238,0.312,0.03,1.127,0.03381,7.85
2440.0,1.9227,2.0417,2.0742,0.184,0.281,0.03,2.327,0.06981,7.88
2450.0,2.1062,2.0258,2.0044,0.258,0.312,0.03,2.768,0.08305,7.91
2460.0,2.121,2.0476,2.0034,0.207,0.312,0.03,2.116,0.06349,7.94
2470.0,1.908,2.0075,2.0359,0.211,0.344,0.03,1.788,0.05364,7.98
2480.0,2.0813,1.9833,2.0511,0.191,0.188,0.03,3.031,0.09093,8.1
2490.0,2.0029,2.0211,2.002,0.242,0.188,0.03,3.247,0.0974,8.13
2500.0,2.1774,2.0117,2.0448,0.191,0.125,0.03,4.153,0.1246,8.16
2510.0,2.1623,2.0004,2.0463,0.246,0.188,0.03,4.154,0.1246,8.19
2520.0,2.0009,2.0033,1.9991,0.23,0.344,0.03,5.032,0.151,8.23
2530.0,2.1746,2.0027,1.9849,0.25,0.188,0.03,2.09,0.06269,8.26
2540.0,1.8867,2.0006,2.0015,0.223,0.219,0.03,2.646,0.07939,8.3
2550.0,1.8272,1.9864,2.0005,0.273,0.312,0.03,1.996,0.05987,8.33
2560.0,1.9655,1.9706,2.0255,0.227,0.281,0.03,4.729,0.1419,8.37
2570.0,2.044,2.0092,2.0354,0.195,0.125,0.03,2.43,0.0729,8.42
2580.0,1.9673,2.0417,2.0131,0.207,0.094,0.03,2.512,0.07535,8.45
2590.0,1.8093,2.0269,2.059,0.25,0.25,0.03,2.922,0.08767,8.49
2600.0,1.7639,1.9846,2.0008,0.215,0.344,0.03,1.935,0.05804,8.52
2610.0,1.971,1.9679,2.0351,0.266,0.344,0.03,1.552,0.04656,8.56
2620.0,2.1286,1.9571,1.9966,0.23,0.219,0.03,3.275,0.09825,8.6
2630.0,1.6522,1.9473,1.9994,0.242,0.406,0.03,1.784,0.05352,8.64
2640.0,1.996,2.0354,2.0108,0.234,0.188,0.03,1.597,0.04792,8.68
2650.0,1.7558,2.0296,2.0181,0.25,0.344,0.03,2.373,0.07118,8.72
2660.0,1.9486,1.9609,2.0291,0.23,0.281,0.03,1.651,0.04954,8.75
2670.0,2.0812,1.9644,1.997,0.215,0.25,0.03,2.934,0.08801,8.79
2680.0,1.86,1.965,2.0494,0.207,0.375,0.03,2.18,0.06541,8.84
2690.0,1.9672,1.9813,1.9954,0.199,0.344,0.03,2.356,0.07069,8.87
2700.0,1.9069,2.0102,1.9974,0.203,0.25,0.03,1.893,0.05678,8.9
2710.0,1.9052,2.0394,2.0451,0.215,0.25,0.03,2.076,0.06228,8.94
2720.0,1.7385,2.0033,2.0047,0.223,0.469,0.03,2.954,0.08863,8.97
2730.0,1.8931,1.9845,2.0369,0.242,0.125,0.03,3.008,0.09024,9.0
2740.0,1.8913,2.0322,2.0088,0.199,0.312,0.03,1.779,0.05337,9.03
2750.0,1.8574,2.0479,1.9856,0.242,0.156,0.03,1.919,0.05756,9.06
2760.0,1.9367,2.0243,2.0049,0.262,0.219,0.03,1.402,0.04206,9.1
2770.0,1.8845,1.9941,2.0612,0.25,0.406,0.03,1.85,0.0555,9.14
2780.0,1.9998,2.0154,2.0776,0.199,0.219,0.03,1.663,0.04988,9.17
2790.0,2.1302,2.0454,2.0017,0.262,0.125,0.03,1.655,0.04965,9.21
2800.0,2.0634,2.0194,2.0083,0.211,0.125,0.03,2.929,0.08787,9.24
2810.0,1.9,1.9701,2.0203,0.254,0.188,0.03,1.411,0.04233,9.27
2820.0,2.0538,1.9721,2.0182,0.238,0.156,0.03,1.63,0.04889,9.3
2830.0,2.0002,1.9807,1.9842,0.258,0.344,0.03,1.487,0.04462,9.33
2840.0,1.9112,1.9692,2.0461,0.254,0.219,0.03,3.155,0.09464,9.37
2850.0,1.9768,1.9942,1.9941,0.25,0.219,0.03,2.183,0.06548,9.4
2860.0,1.9674,2.0149,2.006,0.199,0.281,0.03,1.802,0.05407,9.44
2870.0,2.0891,2.0083,1.9823,0.25,0.25,0.03,1.519,0.04556,9.47
2880.0,2.012,2.0123,2.0194,0.242,0.281,0.03,1.869,0.05608,9.5
2890.0,1.993,1.976,2.0118,0.238,0.281,0.03,2.883,0.08649,9.54
2900.0,2.0367,1.92,2.1075,0.18,0.25,0.03,3.783,0.1135,9.58
2910.0,2.2454,1.9687,2.007,0.199,0.25,0.03,2.521,0.07562,9.61
2920.0,1.9933,2.0134,1.9895,0.227,0.125,0.03,1.802,0.05407,9.64
2930.0,2.1573,2.0231,2.0292,0.246,0.188,0.03,2.505,0.07514,9.67
2940.0,1.8422,1.999,2.0441,0.238,0.281,0.03,2.094,0.06282,9.71
2950.0,1.8902,1.9627,1.9962,0.199,0.281,0.03,2.097,0.06291,9.75
2960.0,2.141,1.9615,2.2587,0.164,0.25,0.03,4.822,0.1446,9.78
2970.0,1.9111,1.9401,2.0247,0.227,0.375,0.03,3.433,0.103,9.82
2980.0,1.8132,1.9298,1.9801,0.242,0.406,0.03,1.445,0.04334,9.86
2990.0,2.072,1.9808,2.0144,0.227,0.188,0.03,3.627,0.1088,9.89
3000.0,2.1499,2.0281,2.0283,0.211,0.156,0.03,2.479,0.07438,9.93
3010.0,2.2243,2.0658,1.9768,0.266,0.188,0.03,2.28,0.0684,9.96
3020.0,1.8692,2.0174,2.007,0.266,0.312,0.03,2.215,0.06645,10.0
3030.0,2.0051,1.9844,1.9886,0.246,0.125,0.03,2.121,0.06363,10.03
3040.0,2.0858,2.0075,1.9863,0.246,0.375,0.03,2.383,0.07148,10.06
3050.0,1.9271,2.0177,2.0155,0.27,0.312,0.03,1.262,0.03786,10.1
3060.0,2.2223,2.0674,2.0517,0.199,0.125,0.03,2.983,0.0895,10.13
3070.0,1.9063,2.0218,2.023,0.215,0.344,0.03,3.287,0.09862,10.16
