step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
162.0,2.2579,2.3001,2.3573,0.051,0.125,0.1,1.259,0.03125,0.03125,1.015,13.1,38.0,-1.12,1600.0,189.24
163.0,2.3825,2.3041,2.3693,0.062,0.031,0.1,14.62,0.0625,0.0625,0.758,19.83,36.0,-18.5,2990.0,190.76
164.0,2.3003,2.3037,2.3098,0.062,0.125,0.1,1.844,0.125,0.125,0.054,20.93,36.0,-18.7,466.0,192.15
165.0,2.3206,2.3045,2.3098,0.062,0.094,0.1,2.891,0.03125,0.03125,1.029,11.77,36.0,-9.86,432.0,193.64
166.0,2.299,2.3044,2.3005,0.117,0.25,0.1,0.3798,0.0625,0.0625,-153.961,29.57,35.0,-23.5,3.55,195.25
167.0,2.3003,2.3048,2.3005,0.117,0.188,0.1,0.3548,0.01562,0.01562,0.855,8.154,36.0,-6.53,58.9,196.73
168.0,2.3067,2.3045,2.298,0.113,0.094,0.1,0.4851,0.03125,0.03125,-25.576,57.09,35.0,-41.6,4.87,198.33
169.0,2.2942,2.3046,2.298,0.113,0.125,0.1,0.386,0.007813,0.007812,1.051,19.58,37.0,-6.51,44.6,199.84
170.0,2.2983,2.3044,2.2964,0.09,0.219,0.1,0.5292,0.01563,0.01562,1.211,62.46,37.0,-28.9,6.86,201.32
171.0,2.2936,2.3,2.3052,0.082,0.125,0.1,1.102,0.03125,0.03125,-49.602,110.7,35.0,-75.6,8.68,203.0
172.0,2.2987,2.3,2.3052,0.082,0.125,0.1,2.385,0.007813,0.007812,1.141,561.1,37.0,-256.0,22.8,204.59
173.0,2.2975,2.2998,2.3311,0.062,0.156,0.1,1.67,0.01563,0.01562,-13.241,120.3,36.0,-30.3,144.0,206.12
174.0,2.3017,2.2998,2.3311,0.062,0.094,0.1,4.456,0.003906,0.003906,1.098,241.4,36.0,-59.4,1750.0,207.5
175.0,2.2808,2.2986,2.3214,0.062,0.125,0.1,1.819,0.007812,0.007812,-0.471,219.1,39.0,-14.7,27.2,209.07
176.0,2.3493,2.3016,2.3214,0.062,0.062,0.1,7.969,0.001953,0.001953,1.029,2626.0,41.0,-62.3,1450.0,210.75
177.0,2.3263,2.3027,2.314,0.062,0.031,0.1,5.48,0.003906,0.003906,1.132,385.0,39.0,-35.0,1020.0,212.22
178.0,2.306,2.3025,2.3055,0.086,0.125,0.1,1.402,0.007813,0.007812,1.223,11.39,35.0,-8.1,261.0,213.69
179.0,2.2986,2.3026,2.2998,0.105,0.062,0.1,0.8097,0.01562,0.01562,0.233,95.77,37.0,-44.3,2.22,215.37
180.0,2.2736,2.3034,2.3589,0.062,0.0,0.1,0.453,0.003906,0.003906,0.986,76.0,39.0,-6.67,1160.0,216.89
181.0,2.3463,2.3066,2.3654,0.062,0.0,0.1,12.33,0.007812,0.007812,1.187,70.57,36.0,-60.0,4010.0,218.4
182.0,2.2976,2.3086,2.3343,0.062,0.062,0.1,1.347,0.01563,0.01562,0.954,11.02,35.0,-7.82,789.0,219.83
183.0,2.3043,2.3047,2.3212,0.062,0.0,0.1,0.8187,0.03125,0.03125,0.766,12.94,35.0,-8.27,484.0,221.63
184.0,2.3405,2.3067,2.3326,0.062,0.031,0.1,6.653,0.0625,0.0625,0.283,51.49,36.0,-45.3,1820.0,223.12
185.0,2.3146,2.3064,2.2969,0.105,0.031,0.1,0.3571,0.0625,0.0625,-71.252,41.52,36.0,-35.9,4.42,224.43
186.0,2.2999,2.3064,2.2969,0.105,0.125,0.1,0.2333,0.01563,0.01562,1.155,3.388,35.0,-1.64,13.3,225.73
187.0,2.3002,2.3064,2.2955,0.102,0.062,0.1,0.08672,0.03125,0.03125,1.048,1.007,34.0,-0.27,5.03,227.26
188.0,2.3069,2.3064,2.2958,0.094,0.125,0.1,0.05113,0.0625,0.0625,-145.447,3.691,32.0,-3.0,1.03,228.63
189.0,2.3018,2.3068,2.2958,0.094,0.156,0.1,0.08009,0.01562,0.01562,1.002,5.853,37.0,-1.09,0.951,230.08
190.0,2.3005,2.3069,2.2954,0.105,0.062,0.1,0.02219,0.03125,0.03125,0.978,0.7267,34.0,-0.2,1.14,232.08
191.0,2.2947,2.307,2.2958,0.121,0.188,0.1,0.1162,0.0625,0.0625,0.239,1.529,33.0,-1.44,21.9,233.42
